codigo_produto,codigo,descricao,completo,rua,andar,edificio,apartamento
10443720575,04.MP.I.90931,OBSOLETO - TERMINAL GARFO 4 - 6MM - 8 - SVS5.5-4AMARELO,01-04-18-001,01,04,18,001
10443720252,04.MP.I.90930,"TERMINAL GARFO 1,5 - 2,5MM - 8 - SVS2-4 AZUL",01-03-18-001,01,03,18,001
10443717228,04.MP.I.90928,"TERMINAL GARFO 0,5-1,5MM - 8 - SVS1.25-4 VERMELHO",01-03-18-001,01,03,18,001
10443720063,04.MP.I.90929,"TERMINAL GARFO 0,5 - 1,5MM - 8 - SVS1.25-61/4 VERMELHO",01-03-18-001,01,03,18,001
10443722051,04.MP.I.90933,TERMINAL OLHAL 1.5 - 2.5MM - 10 - RVS2-5AZUL,01-04-18-001,01,04,18,001
10443727145,04.MP.I.90936,OBSOLETO - TERMINAL 0.8 X 6.35 FDFN2-250 AZUL,01-04-18-001,01,04,18,001
10443728664,04.MP.I.90937,OBSOLETO - TERMINAL 0.8 X 6.35 FDFNY2-250 AZUL,01-04-18-001,01,04,18,001
10443726350,04.MP.I.90935,OBSOLETO - TERMINAL BANDEIRA 0.8 X 6.35 FLDNY2-250 AZUL,01-04-18-001,01,04,18,001
10443831819,04.MP.I.90941,TERMINAL TUBULAR 12E6012 AMARELO,01-04-18-001,01,04,18,001
10443832758,04.MP.I.90942,TERMINAL TUBULAR 18E10-18 VERMELHO,01-04-18-001,01,04,18,001
10443821488,04.MP.I.90938,TERMINAL TUBULAR 8 E1508 PRETO/VERMELHO,01-04-18-001,01,04,18,001
10443834537,04.MP.I.90943,TERMINAL TUBULAR 12E16-12 AZUL,01-04-18-001,01,04,18,001
10443825230,04.MP.I.90940,TERMINAL TUBULAR 9E4009 CINZA,01-03-18-001,01,03,18,001
10443823571,04.MP.I.90939,TERMINAL TUBULARE2508 AZUL,01-02-17-001,01,02,17,001
10409717966,04.MP.N.90916,TERMINAL TUBULAR VERMELHO 10MM I-10,01-04-18-001,01,04,18,001
10409717956,04.MP.N.90911,"OBSOLETO - TERMINAL TUBULAR AMARELO 4,00-6,00MM P-1034",01-04-18-001,01,04,18,001
10409717937,04.MP.N.90901,OBSOLETO - TERMINAL FEMEA TOTALMENTE ISOLADO VERMELHO FDFD1.25-250,01-04-18-001,01,04,18,001
10424936180,04.MP.I.61206,PRESSOSTATO ALTA OPEN 500 CLOSE 400 CARTUCHO 1/4 PRESSURE SWITCH HPS500400,01-04-18-002,01,04,18,002
10409717347,04.MP.I.61202,*PRESSOSTATO ALTA 600/400 PSI CARTUCHO 1/4,01-04-18-002,01,04,18,002
10431250896,04.MP.I.80062,REATOR FTI105D - R2550HSA/25A/5.0mH/HET - 13080007000275,01-01-20-002,01,01,20,002
10421125712,04.MP.I.80060,"REATOR FTI105L,125L - R20035(AL)/20A/3.5mH/ZK - 13080007000280",01-01-20-002,01,01,20,002
10431250841,04.MP.I.80061,"REATOR FTI45,55,75 - R2050HSB/R20052HS(AL)/20A/5.20mH/HET - 13080007000260",01-01-20-001,01,01,20,001
10437794582,04.MP.I.80063,"REATOR FTI25,35 - R1250HSD-1/12A/5.0mH/HET - 13080007000351",01-01-20-002,01,01,20,002
10409717765,04.MP.N.90340,CHICOTE FEMEA SENSOR DE FLUXO+2 SENSOR 10K TEMP - TAMANHO PEQUENO - 20 A 50 008,01-02-20-G06,01,02,20,G06
10409717763,04.MP.N.90339,CHICOTE FEMEA SENSOR DE FLUXO+2 SENSOR 10K TEMP - TAMANHO GRANDE - 60 A 180 028,01-02-20-G03,01,02,20,G03
10409717761,04.MP.N.90338,"CHICOTE FEMEA PRESSOSTATOS R410A 600 x 500 x 35 - FT20, 50, FH40 - 041",01-02-20-G05,01,02,20,G05
10409717759,04.MP.N.90337,CHICOTE FEMEA PRESSOSTATOS 600-500-35 FH100 A FH240 042,01-02-20-G02,01,02,20,G02
10409717757,04.MP.N.90336,CHICOTE FEMEA PRESSOSTATOS 400-350-05 FT60 A 180 031,01-02-20-G01,01,02,20,G01
10409717379,04.MP.I.61701,SENSOR TEMPERATURA 10K NTC PROBE NIQUEL,01-03-20-M04,01,03,20,M04
10409717656,04.MP.I.80019,SENSOR DE FLUXO FTi UNIVERSAL /G3/4&amp;quot;FM/ - 13110002001185 13110002000425,01-03-20-M06,01,03,20,M06
10409717343,04.MP.I.61200,PRESSOSTATO ALTA OPEN 350 CLOSE 250 CARTUCHO 1/4 - PRESSURE SWITCH HPS350250,01-04-20-001,01,04,20,001
10409717345,04.MP.I.61201,*PRESSOSTATO ALTA 400/200 PSI CARTUCHO 1/4,01-04-20-001,01,04,20,001
10409717353,04.MP.I.61205,*PRESSOSTATO BAIXA 35/60 PSI CARTUCHO 1/4,01-04-20-002,01,04,20,002
10432786507,04.MP.I.80008,SENSOR TEMP. DESCARGA BRANCO 105L 125D 125L CC.T705/50K/XH-2Y/1.5m/ZK - 13080009000134,01-02-22-M01,01,02,22,M01
10409717638,04.MP.I.80009,"SENSOR TEMP. AMBIENTE PRETO FTI45,55,75,105D /15K/XH-2Y/0.75m//HET - 13080009000251",01-02-22-M02,01,02,22,M02
10409717640,04.MP.I.80010,"SENSOR TEMP. DESCARGA ROXO FTI45,55,75,105D /50K/XH-2Y/1.2m/HET - 13080009000249",01-02-22-M03,01,02,22,M03
10409717642,04.MP.I.80011,"SENSOR TEMP. SAIDA DE AGUA VERMELHO FTI45,55,75,105D 20K/XH-2Y/1.2m/HET - 13080009000250",01-01-22-M04,01,01,22,M04
10409717646,04.MP.I.80013,"SENSOR TEMP. AMBIENTE BRANCO FTI105L,125D,125L - CC.T699/5K/XH-2Y/1.5m/ZK - 13080009000125",01-01-22-M06,01,01,22,M06
10409717648,04.MP.I.80014,"SENSOR TEMP. GAS SAIDA CONDENSADORA VERDE FTI45,55,75,105D /20K/XH-2Y/1.2m/HET - 13080009000260",01-02-22-M07,01,02,22,M07
10409717650,04.MP.I.80015,"SENSOR TEMP.ENTRADA AGUA FRIA AZUL FTI45,55,75,105D/20K/XH-2Y/1.2m/HET - 13080009000259",01-02-22-M08,01,02,22,M08
10432776085,04.MP.I.80016,"SENSOR TEMP. AMBIENTE BRANCO FTI105L,125D,125L /CC.T687/5K /XH-2Y/1.5m/ZK - 13080009000126",01-02-22-M09,01,02,22,M09
10432779608,04.MP.I.80017,"SENSOR TEMP. EVAPORADORA 2 BRANCO FTI45,55,75,105D/20K/XH-2Y/1.2m/HET - 13080009000258",01-02-22-M10,01,02,22,M10
10437794386,04.MP.I.80022,CABO DE COMUNICACAO RCDF211253 BRANCO - 13080001000617,01-02-22-M11,01,02,22,M11
10542384956,04.MP.I.80379,CABO DE COMUNICACAO PLACA PRINCIPAL - PLACA COMPRESSOR - 13080001000614,01-02-22-M13,01,02,22,M13
10431268031,04.MP.I.80026,CABO DE COMUNICACAO TYWE3SWIFI PRETO - 13080001000600,01-02-22-M12,01,02,22,M12
10437794590,04.MP.I.80218,"SENSOR TEMP. AMBIENTE PRETO FTI25,35 /15K/XH-2Y/1.0m/HET - 13080009000306",01-02-22-M14,01,02,22,M14
10437794596,04.MP.I.80219,"SENSOR TEMP. DESCARGA ROXO FTI25,35 /50K/XH-2Y/0.6m/HET - 13080009000307",01-02-22-M15,01,02,22,M15
10437794602,04.MP.I.80220,"SENSOR TEMP. SAIDA DE AGUA QUENTE VERMELHO FTI25,35/20K/XH-2Y/1.0m/HET - 13080009000308",01-02-22-M16,01,02,22,M16
10437794610,04.MP.I.80221,"SENSOR TEMP. SUCCAO AMARELO FTI25,35/20K/XH-2Y/1.0m/HET - 13080009000309",01-02-22-M17,01,02,22,M17
10437794615,04.MP.I.80222,"SENSOR TEMP. GAS SAIDA CONDENSADORA VERDE FTI25,35/20K/XH-2Y/1.0m/HET - 13080009000310",01-02-22-M18,01,02,22,M18
10437794623,04.MP.I.80223,"SENSOR TEMP. EVAPORADORA BRANCO FTI25,35/20K/XH-2Y/1.0m/HET - 13080009000311",01-02-22-M19,01,02,22,M19
10437794630,04.MP.I.80224,"SENSOR TEMP. ENTRADA DE AGUA AZUL FTI25,35/20K/XH-2Y/1.0m/HET - 13080009000312",01-02-22-M20,01,02,22,M20
10431269463,04.MP.I.80205,"VISOR IHM WIFI FTI125D,105L,125L RCDF211253/LED/WIFI/ZK - 13080007000727",01-03-20-G08,01,03,20,G08
10433322249,07.MP.I.80002,CLIPE DO SENSOR - SUS304 - 13130003000048,01-02-22-P02,01,02,22,P02
10485147924,07.MP.I.80076,PRESILHA DE ALUMINIO GRADE VENTILADOR FTI - 32200018000390,01-02-22-P01,01,02,22,P01
10409717245,04.MP.N.60302,"CAPACITOR DE REGIME 2,5MFD 450V",01-02-22-P05,01,02,22,P05
10409717654,07.MP.I.80018,SUPORTE DO SENSOR DE TEMPERATURA EXTERNO - CINZA - 13110002000764,01-02-22-P06,01,02,22,P06
10409717241,04.MP.I.60300,CAPACITOR DE PARTIDA 4.000 A 120.000 BTU - HARD START HS6,01-04-22-001,01,04,22,001
10409717253,04.MP.I.60306,CAPACITOR DE REGIME 50MFD 440V,01-06-22-001,01,06,22,001
10490604170,04.MP.N.61903,TRANSFORMADOR 220/12V 1A REV0213V,01-01-24-001,01,01,24,001
10441622363,07.MP.N.90524,"OBSOLETO - FITA VEDA FRESTAS PVC EXPANDIDO 11MMX0,6MMX10000MM",01-01-24-001,01,01,24,001
10409717853,07.MP.N.90503,"FITA VEDA FRESTAS PVC EXPANDIDO 12MMX0,5MMX4000MM",01-01-24-001,01,01,24,001
10409717424,05.MP.I.62015,VALVULA DE SERVICO 1/4 - 5CM - ACCESS VALVE AV04A05T-6 1/4 - 5CM - THICKNESS 0.6MM,01-01-24-001,01,01,24,001
10409717223,04.MP.I.60000,CHAVE COMUTADOR KNOB 2NA - 3 Position Selector Pushbutton CB2-ED33 2N/O BlackSwitch,01-01-24-001,01,01,24,001
10409717857,07.MP.N.90505,"FITA VEDA FRESTAS PVC EXPANDIDO 40MMX0,5MMX4000MM",01-01-24-001,01,01,24,001
10544137903,04.MP.I.80381,BARRA DE TERMINAIS ALIMENTACAO - 6 PORT/A30/450V 4MM2 - 13080005000318,01-02-24-G06,01,02,24,G06
10542356199,04.MP.I.80377,BARRA DE TERMINAIS ALIMENTACAO - 5 PORT 6MM2 - 13080005000372,01-02-24-G05,01,02,24,G05
10542324680,04.MP.I.80367,BARRA DE TERMINAIS ALIMENTACAO - 7 PORT/A30/450V 4MM2 - APERTO DE PARAFUSO - 13080005000317,01-02-24-G04,01,02,24,G04
10433316162,04.MP.I.80003,BARRA DE TERMINAIS ALIMENTACAO - 5 PORT/A30/450V 4MM2 - 13080005000282/13080005000316,01-02-24-G03,01,02,24,G03
10431239419,04.MP.I.80024,RELE 30A 220VAC JQX-105F-4pinos - 13080003000402,01-02-24-G02,01,02,24,G02
10646073683,04.MP.I.61610,RELE 40A/240VAC NT90TPNCE220CB / NT90TPNCEAC240VSB-G,01-01-24-G01,01,01,24,G01
10650343584,04.MP.I.80086,BOBINA VALVULA EXPANSAO DPFX06-132 240628N - 13080010000501,01-03-24-M03,01,03,24,M03
10431246852,04.MP.I.80082,"BOBINA VALVULA EXPANSAO DPFX03-041 FTI25,35,45,55,75 - 13080010001412",01-03-24-M02,01,03,24,M02
10433349227,04.MP.I.80083,"BOBINA VALVULA EXPANSAO DPFX07-180 FTI105,125 - 13080010000610",01-03-24-M01,01,03,24,M01
